Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.17-185.125.190.98-33770-80-6,192.168.1.17,33770,185.125.190.98,80,6,01/12/2024 10:06:55 PM,426121,3,3,87.0,185.0,87.0,0.0,29.0,50.22947341949744,185.0,0.0,61.666666666666664,106.80979980008077,638.3163467653553,14.080507649235779,85224.2,115760.27980140684,213019.0,201.0,214115.0,107057.5,150136.4473154337,213220.0,895.0,213102.0,106551.0,147772.5893459271,211042.0,2060.0,0,0,0,0,80,64,7.040253824617889,7.040253824617889,0.0,185.0,38.857142857142854,72.13974533599948,5204.142857142858,1,2,0,2,5,0,0,0,1.0,45.333333333333336,29.0,61.666666666666664,0,0,0,0,0,0,0,0,0,0,64240,64240,1,20,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.17-185.125.188.59-33498-443-6,192.168.1.17,33498,185.125.188.59,443,6,01/12/2024 10:06:58 PM,706883,7,6,344.0,3714.0,264.0,0.0,49.14285714285714,99.3234255205833,3556.0,0.0,619.0,1440.2176224446082,5740.695419185353,18.390596463629766,58906.916666666664,94807.89244904027,217745.0,46.0,706883.0,117813.83333333334,107843.4544910662,217942.0,4209.0,489092.0,97818.4,106470.38751361807,215882.0,4715.0,0,0,0,0,160,124,9.902628865031412,8.487967598598352,0.0,3556.0,289.8571428571429,943.3963077130381,889996.5934065934,1,2,1,4,11,0,0,0,0.0,312.15384615384613,49.142857142857146,619.0,0,0,0,4058,4,8533,0,0,0,0,64240,64239,2,20,0,0,0,0,0,0,0,0,probability(BENIGN)
192.168.1.17-185.125.188.59-33484-443-6,192.168.1.17,33484,185.125.188.59,443,6,01/12/2024 10:06:58 PM,7539739,29,43,15169.0,72264.0,2920.0,0.0,523.0689655172414,870.2558708725712,5840.0,0.0,1680.5581395348838,1885.786412971744,11596.290004203063,9.549402174266245,106193.5070422535,605463.084057481,5077779.0,9.0,2461960.0,87927.14285714287,133992.08127395806,471455.0,92.0,7312034.0,174096.04761904757,783523.9872264392,5077888.0,9.0,0,0,0,0,600,864,3.8462869868572374,5.703115187409007,0.0,5840.0,1197.712328767123,1646.6479796464296,2711449.5688736686,1,2,0,38,71,0,0,0,1.0,1214.3472222222222,523.0689655172414,1680.5581395348838,0,0,0,87409,38,39203,29,15169,43,72264,64240,64240,13,20,2461960.0,0.0,2461960.0,2461960.0,5077779.0,0.0,5077779.0,5077779.0,probability(BENIGN)
192.168.1.4-192.168.1.17-34442-80-6,192.168.1.4,34442,192.168.1.17,80,6,01/12/2024 10:07:11 PM,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41666.666666666664,48.0,0.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20833.333333333332,20833.333333333332,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-34446-80-6,192.168.1.4,34446,192.168.1.17,80,6,01/12/2024 10:07:11 PM,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,25641.02564102564,25641.02564102564,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-34458-80-6,192.168.1.4,34458,192.168.1.17,80,6,01/12/2024 10:07:11 PM,33,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60606.0606060606,33.0,0.0,33.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,30303.0303030303,30303.0303030303,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-34466-80-6,192.168.1.4,34466,192.168.1.17,80,6,01/12/2024 10:07:11 PM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-34472-80-6,192.168.1.4,34472,192.168.1.17,80,6,01/12/2024 10:07:11 PM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-34484-80-6,192.168.1.4,34484,192.168.1.17,80,6,01/12/2024 10:07:11 PM,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,33333.333333333336,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-34488-80-6,192.168.1.4,34488,192.168.1.17,80,6,01/12/2024 10:07:11 PM,42,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47619.04761904762,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,23809.52380952381,23809.52380952381,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
