Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.17-185.125.190.17-47516-80-6,192.168.1.17,47516,185.125.190.17,80,6,28/10/2024 11:39:14 PM,620758,3,3,87.0,189.0,87.0,0.0,29.0,50.22947341949744,189.0,0.0,63.0,109.11920087683927,444.6177093166741,9.665602376449437,124151.6,168924.29098800445,309933.0,181.0,311005.0,155502.5,218653.68019884778,310114.0,891.0,310825.0,155412.5,216444.67861442102,308462.0,2363.0,0,0,0,0,80,64,4.832801188224718,4.832801188224718,0.0,189.0,39.42857142857142,73.49343994048526,5401.285714285714,1,2,0,2,5,0,0,0,1.0,46.0,29.0,63.0,0,0,0,0,0,0,0,0,0,0,64240,64240,1,20,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.05- probability(BENIGN)=0.95}
192.168.1.17-18.67.216.22-47132-443-6,192.168.1.17,47132,18.67.216.22,443,6,28/10/2024 11:40:57 PM,483742,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201652947232202,241871.0,341965.3246631886,483677.0,65.0,483742.0,483742.0,0.0,483742.0,483742.0,0,0,0,0,0,0,0,0,0,60,24,4.134435298154801,2.0672176490774006,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,64240,0,20,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.05- probability(BENIGN)=0.95}
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,28/10/2024 11:39:15 PM,103310476,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.183911648998694,5739470.888888887,2.0029122494525827E7,8.5444247E7,7.0,1.03310476E8,5739470.888888887,2.0029122494525827E7,8.5444247E7,7.0,0,0,0,0,0,0,0,0,0,0,0,0.183911648998694,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6916536.0,0.0,6916536.0,6916536.0,4.76818965E7,5.340402822418643E7,8.5444247E7,9919546.0,{probability(DoS Attack)=0.15- probability(BENIGN)=0.85}
192.168.1.200-192.168.1.17-0-0-0,192.168.1.200,0,192.168.1.17,0,0,28/10/2024 11:40:40 PM,119487768,87889,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,735.5480939270705,1359.545876570181,30754.966859553082,2800053.0,5.0,1.19487768E8,1359.545876570181,30754.966859553082,2800053.0,5.0,0,0,0,0,0,0,0,0,0,0,0,735.5480939270705,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.15- probability(BENIGN)=0.85}
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,28/10/2024 11:41:16 PM,119173238,92,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.771985401621797,1309596.021978022,2670908.2424157853,2.414533E7,6.0,1.19173238E8,1309596.021978022,2670908.2424157853,2.414533E7,6.0,0,0,0,0,0,0,0,0,0,0,0,0.771985401621797,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3.156908E7,2.36191738565634E7,4.8270358E7,1.4867802E7,1.56320155E7,1.2039644826647524E7,2.414533E7,7118701.0,{probability(DoS Attack)=0.15- probability(BENIGN)=0.85}
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,28/10/2024 11:50:16 PM,118245462,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4143922242022277,2463447.125,2496758.464179195,1.2287983E7,29.0,1.18245462E8,2463447.125,2496758.464179195,1.2287983E7,29.0,0,0,0,0,0,0,0,0,0,0,0,0.4143922242022277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1017284E7,1.198815670502438E7,2.4860015E7,4095744.0,9503296.0,3071136.9911716194,1.2287983E7,5116151.0,{probability(DoS Attack)=0.15- probability(BENIGN)=0.85}
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,28/10/2024 11:52:17 PM,26061047,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6906859881723094,1533002.7647058822,649036.0231174123,2533358.0,146.0,2.6061047E7,1533002.7647058822,649036.0231174123,2533358.0,146.0,0,0,0,0,0,0,0,0,0,0,0,0.6906859881723094,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.15- probability(BENIGN)=0.85}
192.168.1.17-185.125.190.18-52776-80-6,192.168.1.17,52776,185.125.190.18,80,6,28/10/2024 11:54:33 PM,478151,3,3,87.0,189.0,87.0,0.0,29.0,50.22947341949744,189.0,0.0,63.0,109.11920087683927,577.2235130743218,12.548337240746124,95630.19999999998,130315.60294991541,239484.0,78.0,240206.0,120103.0,168940.53794752757,239562.0,644.0,238667.0,119333.5,166798.7115073135,237278.0,1389.0,0,0,0,0,80,64,6.274168620373062,6.274168620373062,0.0,189.0,39.42857142857142,73.49343994048526,5401.285714285714,1,2,0,2,5,0,0,0,1.0,46.0,29.0,63.0,0,0,0,0,0,0,0,0,0,0,64240,64240,1,20,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.05- probability(BENIGN)=0.95}
192.168.1.4-20.205.243.166-56506-443-6,192.168.1.4,56506,20.205.243.166,443,6,28/10/2024 11:55:24 PM,1444411,27,29,1349.0,46841.0,399.0,0.0,49.96296296296296,107.68632563768126,10052.0,0.0,1615.2068965517242,2497.5498047273445,33363.080175933304,38.770128446820195,26262.018181818177,66497.10166546411,322937.0,12.0,1412327.0,54320.26923076922,91219.30331045407,322937.0,16.0,1409228.0,50329.57142857142,94360.46468156371,323336.0,17.0,0,0,0,0,560,584,18.69274050114545,20.077387945674744,0.0,10052.0,845.438596491228,1936.2254611332978,3748969.0363408513,2,2,0,27,55,0,0,0,1.0,860.5357142857143,49.96296296296296,1615.2068965517242,0,0,0,48190,27,44371,0,0,0,0,32120,64239,9,20,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.0- probability(BENIGN)=1.0}
192.168.1.17-3.162.58.107-32866-443-6,192.168.1.17,32866,3.162.58.107,443,6,28/10/2024 11:55:57 PM,30239914,10,13,963.0,5956.0,642.0,0.0,96.3,201.32453071264482,2880.0,0.0,458.1538461538462,872.9884350278118,228.80356075086723,0.7605841736190123,1374541.5454545456,6396631.9902272215,3.0013517E7,27.0,3.0209254E7,3356583.777777778,9996595.27222231,3.0014101E7,581.0,3.0209894E7,2517491.166666667,8659178.978087649,3.0013986E7,82.0,0,0,0,0,220,264,0.330688771138701,0.42989540248031133,0.0,2880.0,288.29166666666663,670.3957610615355,449430.4764492754,2,2,0,11,22,0,0,0,1.0,300.82608695652175,96.3,458.15384615384613,0,0,0,6919,10,71244,10,963,13,5956,64240,64239,5,20,195737.0,0.0,195737.0,195737.0,3.0013517E7,0.0,3.0013517E7,3.0013517E7,{probability(DoS Attack)=0.0- probability(BENIGN)=1.0}
192.168.1.17-3.162.58.107-32882-443-6,192.168.1.17,32882,3.162.58.107,443,6,28/10/2024 11:55:58 PM,30292321,102,141,976.0,494544.0,642.0,0.0,9.568627450980392,67.00044477522262,12960.0,0.0,3507.4042553191493,2482.43322447589,16357.941010858824,8.021834972632172,125174.88016528924,1926106.0350565207,2.9964425E7,6.0,3.0263113E7,299634.78217821784,2981284.941481963,2.9964425E7,22.0,3.0265484E7,216182.0285714286,2535959.518870075,3.000766E7,6.0,0,0,0,0,2060,2824,3.36718998851227,4.654644984119902,0.0,12960.0,2030.819672131148,2559.1465591835417,6549231.111380962,2,2,0,139,242,0,0,0,1.0,2039.1769547325102,9.568627450980392,3507.404255319149,0,0,0,495520,138,2295328,102,976,141,494544,64240,64239,5,20,298688.0,0.0,298688.0,298688.0,2.9964425E7,0.0,2.9964425E7,2.9964425E7,{probability(DoS Attack)=0.0- probability(BENIGN)=1.0}
192.168.1.17-3.162.58.104-33594-443-6,192.168.1.17,33594,3.162.58.104,443,6,28/10/2024 11:55:58 PM,31386101,17,24,18565.0,1001.0,2920.0,0.0,1092.0588235294117,1400.2883395299448,550.0,0.0,41.70833333333333,125.55874397430789,623.3969616041189,1.3063107137774137,784652.525,4735856.634854868,2.9964139E7,12.0,3.1360006E7,1960000.375,7474283.109115932,2.9964139E7,143.0,3.1360594E7,1363504.0869565217,6249468.445795202,3.0008471E7,12.0,0,0,0,0,360,484,0.5416410276638057,0.7646696861136081,0.0,2920.0,465.8571428571428,1023.3419086604954,1047228.6620209058,2,2,0,16,40,0,0,0,1.0,477.219512195122,1092.0588235294117,41.708333333333336,0,0,0,19016,14,247688,8,9282,12,500,64240,64239,12,20,1395867.0,0.0,1395867.0,1395867.0,2.9964139E7,0.0,2.9964139E7,2.9964139E7,{probability(DoS Attack)=0.05- probability(BENIGN)=0.95}
192.168.1.4-192.168.1.17-39606-80-6,192.168.1.4,39606,192.168.1.17,80,6,28/10/2024 11:58:12 PM,51,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39215.686274509804,51.0,0.0,51.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,19607.843137254902,19607.843137254902,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
192.168.1.4-192.168.1.17-39620-80-6,192.168.1.4,39620,192.168.1.17,80,6,28/10/2024 11:58:12 PM,40,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49999.99999999999,40.0,0.0,40.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,24999.999999999996,24999.999999999996,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
192.168.1.4-192.168.1.17-39630-80-6,192.168.1.4,39630,192.168.1.17,80,6,28/10/2024 11:58:12 PM,79,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25316.455696202534,79.0,0.0,79.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,12658.227848101267,12658.227848101267,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
192.168.1.4-192.168.1.17-39634-80-6,192.168.1.4,39634,192.168.1.17,80,6,28/10/2024 11:58:12 PM,26,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76923.07692307692,26.0,0.0,26.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,38461.53846153846,38461.53846153846,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
192.168.1.4-192.168.1.17-39646-80-6,192.168.1.4,39646,192.168.1.17,80,6,28/10/2024 11:58:12 PM,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,33333.333333333336,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
192.168.1.4-192.168.1.17-39662-80-6,192.168.1.4,39662,192.168.1.17,80,6,28/10/2024 11:58:12 PM,25,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
192.168.1.4-192.168.1.17-39664-80-6,192.168.1.4,39664,192.168.1.17,80,6,28/10/2024 11:58:12 PM,25,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
192.168.1.4-192.168.1.17-39672-80-6,192.168.1.4,39672,192.168.1.17,80,6,28/10/2024 11:58:12 PM,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86956.52173913043,23.0,0.0,23.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,43478.260869565216,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
192.168.1.4-192.168.1.17-39682-80-6,192.168.1.4,39682,192.168.1.17,80,6,28/10/2024 11:58:12 PM,21,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95238.09523809524,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,47619.04761904762,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,{probability(DoS Attack)=0.2- probability(BENIGN)=0.8}
