2024-11-04 00:00:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6 flow
2024-11-04 00:01:28 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    Pcap stop listening
2024-11-04 00:01:28 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:/home/minhhuy/Downloads/CICFlowMeter-classifier-20241029T051353Z-001/CICFlowMeter-classifier/data/daily/2024-11-04_Flow.csv
2024-11-04 00:01:30 DEBUG cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    break Packet loop
2024-11-04 00:01:44 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 3 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 3 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
2024-11-04 00:02:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 2 flow
